BJD,Norm Flux,Norm Err,AM
2457862.74687437,0.851924,0.015127,2.53
2457862.74862376,0.8476998,0.015213,2.48
2457862.75070656,0.8611531,0.015312,2.43
2457862.75279009,0.8838246,0.015408,2.38
2457862.75487428,0.8916156,0.0155,2.33
2457862.75695754,0.8789726,0.015589,2.29
2457862.75904063,0.8634413,0.015674,2.24
2457862.76112441,0.8724146,0.015757,2.2
2457862.76320838,0.8785946,0.015837,2.16
2457862.76529131,0.8748846,0.015913,2.12
2457862.7673745,0.904926,0.015988,2.08
2457862.76945773,0.8707086,0.016059,2.04
2457862.7715413,0.8921359,0.016129,2.01
2457862.77362458,0.9302753,0.016196,1.97
2457862.77570779,0.9052152,0.016261,1.94
2457862.77779078,0.9262703,0.016323,1.91
2457862.77987569,0.945094,0.016384,1.88
2457862.78195894,0.9356665,0.016443,1.85
2457862.78404112,0.930058,0.0165,1.82
2457862.78612456,0.9382096,0.016555,1.8
2457862.78820698,0.9244862,0.016608,1.77
2457862.79028841,0.9252824,0.01666,1.74
2457862.79237132,0.9071469,0.01671,1.72
2457862.7944548,0.9500423,0.016759,1.7
2457862.79653558,0.9356742,0.016806,1.67
2457862.79861627,0.9676081,0.016852,1.65
2457862.80070956,0.9388142,0.016897,1.63
2457862.80279012,0.9460422,0.01694,1.61
2457862.8048717,0.9425934,0.016982,1.59
2457862.80695253,0.9253314,0.017022,1.57
2457862.80903362,0.9484564,0.017062,1.55
2457862.81112612,0.9622377,0.017101,1.53
2457862.81320712,0.9393637,0.017138,1.51
2457862.8152894,0.9561261,0.017174,1.5
2457862.81737052,0.948454,0.01721,1.48
2457862.81945186,0.9334189,0.017244,1.46
2457862.82153297,0.9174059,0.017277,1.45
2457862.82362609,0.95614,0.01731,1.43
2457862.82570741,0.9649213,0.017341,1.42
2457862.82778849,0.9379919,0.017372,1.4
2457862.82986969,0.9409035,0.017401,1.39
2457862.83195089,0.9485033,0.01743,1.38
2457862.83404414,0.9369058,0.017459,1.36
2457862.83612466,0.9586347,0.017486,1.35
2457862.83821713,0.9452793,0.017513,1.34
2457862.84028702,0.972402,0.017539,1.33
2457862.8423685,0.9610676,0.017564,1.31
2457862.84446139,0.9743038,0.017588,1.3
2457862.84654416,0.9744869,0.017612,1.29
2457862.84862513,0.9824245,0.017636,1.28
2457862.85070589,0.985444,0.017658,1.27
2457862.85278735,1.0105295,0.01768,1.26
2457862.85486829,0.9939117,0.017701,1.25
2457862.8569618,0.9885347,0.017722,1.24
2457862.85904323,0.9981443,0.017743,1.23
2457862.86112434,1.0119049,0.017762,1.22
2457862.86320585,1.0274464,0.017781,1.21
2457862.86528693,1.0078192,0.0178,1.2
2457862.86736835,0.9887899,0.017818,1.2
2457862.86946185,1.0209429,0.017836,1.19
2457862.87155512,1.0086292,0.017853,1.18
2457862.873625,1.0196798,0.017869,1.17
2457862.87570652,0.9956596,0.017886,1.17
2457862.87778769,0.9924493,0.017901,1.16
2457862.87986907,1.0018557,0.017917,1.15
2457862.8819617,1.0023321,0.017931,1.14
2457862.88404324,0.9924833,0.017946,1.14
2457862.88613592,1.0058386,0.01796,1.13
2457862.88820525,0.9920341,0.017973,1.13
2457862.89028622,0.9600544,0.017986,1.12
2457862.89237881,0.9759987,0.017999,1.11
2457862.8944594,0.9831462,0.018011,1.11
2457862.89654009,1.0085209,0.018023,1.1
2457862.89862181,1.0092356,0.018035,1.1
2457862.90071412,0.9710943,0.018046,1.09
2457862.90279343,1.0214957,0.018057,1.09
2457862.90487234,0.9890797,0.018067,1.08
2457862.90696305,1.0192704,0.018078,1.08
2457862.90904249,1.0525924,0.018087,1.07
2457862.91112184,1.0326634,0.018097,1.07
2457862.913213,1.0312209,0.018106,1.07
2457862.91529209,1.013909,0.018115,1.06
2457862.91737396,1.0230244,0.018123,1.06
2457862.91946486,1.021003,0.018131,1.05
2457862.92154369,1.0338213,0.018139,1.05
2457862.92362278,1.0108407,0.018146,1.05
2457862.9257138,1.0525739,0.018154,1.04
2457862.92779387,1.0423455,0.01816,1.04
2457862.92987332,1.0303752,0.018167,1.04
2457862.93196486,1.0374704,0.018173,1.04
2457862.93404352,1.0411222,0.018179,1.03
2457862.93612335,1.046058,0.018185,1.03
2457862.93820437,1.0499359,0.01819,1.03
2457862.94029598,1.0218151,0.018195,1.03
2457862.94237512,1.018956,0.0182,1.02
2457862.94446554,1.0338726,0.018205,1.02
2457862.94654407,1.0049884,0.018209,1.02
2457862.94862302,1.0414919,0.018213,1.02
2457862.95071324,1.0292405,0.018217,1.02
2457862.95279382,1.0233699,0.01822,1.01
2457862.9548845,1.0399001,0.018223,1.01
2457862.95696451,1.030695,0.018226,1.01
